Person,File,None,Some,Many,Few,Alternate
daniel,wall-z-3.txt,1,False,0,0,False
daniel,increase-n8-1.txt,1,True,2,1,True
thomas,common-2-20.txt,-1,False,-1,-1,False
thomas,smallworld-3-0.txt,4,True,3,1,False
chris,gnm-10-15-1.txt,1,True,5,1,True
chris,wall-p-3.txt,1,True,1,0,False
gaz,ski-illustration.txt,8,True,1,0,False
gaz,gnm-10-15-0.txt,1,True,1,0,False
mie,grid-5-0.txt,14,True,8,0,True
mie,rusty-1-17.txt,10,True,1,0,False
gustav,wall-n-3.txt,1,False,0,0,False
gustav,ski-level3-1.txt,5,True,3,1,True
